"Restaurant.Name","City","Average.Cost.for.two","Has.Table.booking","Has.Online.delivery","Is.delivering.now","Votes","Aggregate.rating","Rating.text","Cuisine.code"
"The American Joint","Mumbai",850,1,0,0,170,3.4,"Average",28
"The Fusion Kitchen","Mumbai",1000,1,1,0,2083,4.7,"Excellent",52
"145 Kala Ghoda","Mumbai",1500,0,0,0,1606,4.2,"Very Good",22
"Tea Villa Cafe","Mumbai",1000,1,1,0,2040,4.1,"Very Good",15
"Grandmama's Cafe","Mumbai",1100,0,0,0,617,3.8,"Good",18
"Mumbai Vibe","Mumbai",1000,1,0,0,146,3.8,"Good",15
"The Rolling Pin","Mumbai",700,0,1,0,2076,3.9,"Good",7
"Farzi Cafe","Mumbai",1500,0,0,0,1240,4.3,"Very Good",47
"SpiceKlub","Mumbai",1500,0,1,0,3370,4.2,"Very Good",52
"Tea Villa Cafe","Mumbai",1000,1,0,0,317,3.9,"Good",15
"Joey's Pizza","Mumbai",800,0,1,0,2662,4.5,"Excellent",56
"Stacks And Racks","Mumbai",500,0,0,0,413,4.6,"Excellent",1
"The English Department Bar & Diner","Mumbai",1500,1,0,0,885,3.9,"Good",32
"Mirchi And Mime","Mumbai",1500,0,0,0,3244,4.9,"Excellent",52
"38 Degree East","Mumbai",1000,1,0,0,181,3.8,"Good",52
"R' ADDA","Mumbai",1200,0,0,0,536,4,"Very Good",66
"Tea Villa Cafe","Mumbai",1000,1,1,0,1295,4.1,"Very Good",15
"Tea Villa Cafe","Mumbai",1000,1,1,0,1515,3.6,"Good",15
"Hotel RRR Mysore","Mysore",290,0,0,0,139,3.4,"Average",2
"Jalpaan Dining Saga","Mysore",900,0,0,0,172,3.7,"Good",52
"The Old House","Mysore",800,0,0,0,264,3.9,"Good",32
"Vinayaka Mylari","Mysore",300,0,0,0,392,4.2,"Very Good",63
"Empire Restaurant","Mysore",500,0,0,0,393,3.7,"Good",52
"Green Leaf","Mysore",400,0,0,0,214,3.5,"Good",52
"Pakva Lounge","Mysore",650,0,0,0,262,3.7,"Good",32
"Spring - Radisson Blu Plaza","Mysore",1700,0,0,0,162,3.8,"Good",18
"Big Chicken","Mysore",500,0,0,0,160,3.5,"Good",52
"Barbeque Nation","Mysore",1600,0,0,0,286,4,"Very Good",52
"Pizza Hut","Mysore",700,0,0,0,304,4,"Very Good",56
"Tandooriwala","Mysore",700,0,0,0,127,3.5,"Good",52
"Jungle The Restaurant","Mysore",1000,0,0,0,132,3.7,"Good",52
"The Barge Restaurant","Mysore",1500,0,0,0,11,3.3,"Average",18
"By The Way","Mysore",650,0,0,0,190,3.6,"Good",52
"Cafe Cornucopia","Mysore",700,0,0,0,140,3.6,"Good",15
"Mezzaluna","Mysore",650,0,0,0,249,3.8,"Good",18
"Nanking","Mysore",550,0,0,0,208,3.7,"Good",17
"Oyster Bay","Mysore",1000,0,0,0,270,3.6,"Good",52
"Purple Haze","Mysore",1200,0,0,0,183,3.7,"Good",23
"House of Caffeine","Nagpur",500,0,0,0,27,3.3,"Average",22
"Hide Out The Street Cafe","Nagpur",250,0,0,0,73,3.8,"Good",15
"Tapri The Chai Books Cafe","Nagpur",250,0,0,0,26,3.9,"Good",18
"Eat Street Express","Nagpur",500,0,1,0,103,4,"Very Good",52
"Zaikart","Nagpur",550,0,1,0,88,4.3,"Very Good",52
"Cafe Zinea","Nagpur",400,0,1,0,201,3.7,"Good",15
"Checker's","Nagpur",550,0,1,0,185,4,"Very Good",22
"The B.A.W.A","Nagpur",600,0,1,0,164,4.2,"Very Good",15
"FSB","Nagpur",1100,0,0,0,270,4.3,"Very Good",18
"NESCAFíŠ Illusions","Nagpur",350,0,0,0,140,3.9,"Good",15
"Nineties","Nagpur",250,0,1,0,19,3.9,"Good",15
"Mocha","Nagpur",750,0,1,0,284,4,"Very Good",15
"The Zuree Urban Kitchen","Nagpur",1200,0,1,0,257,4.4,"Very Good",52
"The Breakfast Story","Nagpur",600,0,0,0,520,4.5,"Excellent",15
"Ten Downing Street Restaurant & Bar","Nagpur",1000,0,0,0,306,4,"Very Good",17
"Ashoka Restaurant","Nagpur",1300,0,1,0,275,4.2,"Very Good",52
"Barbeque Nation","Nagpur",1600,0,0,0,226,4.9,"Excellent",52
"KFC","Nagpur",550,0,1,0,147,2.2,"Poor",1
"Moksh The Restro Lounge","Nagpur",1000,0,0,0,100,4,"Very Good",61
"Mainland China","Nagpur",1000,0,0,0,45,3.8,"Good",17
"Divtya Budhlya Wada Restaurant","Nashik",400,0,0,0,76,3.8,"Good",40
"Spice Route","Nashik",1000,0,0,0,91,3.6,"Good",52
"Veg Aroma","Nashik",600,0,0,0,125,3.6,"Good",52
"Eastern Spice","Nashik",800,0,0,0,140,3.5,"Good",52
"The Bake Studio","Nashik",400,0,0,0,86,3.6,"Good",15
"Barbeque Nation","Nashik",1500,0,0,0,117,3.8,"Good",52
"Chai Tapri","Nashik",150,0,0,0,86,3.4,"Average",15
"Curry Leaves","Nashik",600,0,0,0,162,3.4,"Average",52
"Enter The Dragon","Nashik",700,0,0,0,177,3.4,"Average",17
"The Cafe Katta","Nashik",600,0,0,0,15,3.3,"Average",15
"White X Sky Lounge","Nashik",800,0,0,0,24,3.4,"Average",52
"12212","Nashik",400,0,0,0,80,3.5,"Good",22
"Al Arabian Express","Nashik",500,0,0,0,162,3.7,"Good",48
"RiverDine Restaurant & Bar","Nashik",500,0,0,0,166,3.5,"Good",52
"Barbeque Ville","Nashik",1100,0,0,0,164,3.8,"Good",52
"Little Italy","Nashik",800,0,0,0,25,3,"Average",32
"Soma at Sula","Nashik",1000,0,0,0,33,3.3,"Average",52
"Hotel Radhakrishna","Nashik",400,0,0,0,77,3.5,"Good",42
"Sadhana Restaurant","Nashik",100,0,0,0,218,3.9,"Good",40
"House Of Flavours","Nashik",900,0,0,0,71,3.4,"Average",52
"Burger.in","New Delhi",350,0,1,0,46,3.2,"Average",22
"Days of the Raj","New Delhi",1500,1,1,0,45,3.4,"Average",52
"Dilli Ka Dhaba","New Delhi",500,0,0,0,11,2.6,"Average",63
"Govardhan","New Delhi",500,0,1,0,238,3.4,"Average",63
"Mezbaan Grills","New Delhi",400,0,0,0,8,3.1,"Average",48
"Say Cheese","New Delhi",400,0,1,0,64,2.7,"Average",22
"Southy","New Delhi",450,0,1,0,113,2.6,"Average",63
"Monosoz","New Delhi",300,0,1,0,66,3.7,"Good",56
"Waves","New Delhi",1500,1,1,0,141,3.5,"Good",52
"Delhi Darbar","New Delhi",500,0,0,0,77,2.2,"Poor",17
"Chateau","New Delhi",1600,1,0,0,40,4,"Very Good",43
"Nariyal Cafe","New Delhi",1200,1,0,0,46,4.2,"Very Good",18
"Rustom's Parsi Bhonu","New Delhi",1500,1,1,0,665,4.2,"Very Good",54
"BarShala","New Delhi",600,0,0,0,31,3.2,"Average",23
"Chawla'sŒ_","New Delhi",800,1,1,0,32,3.4,"Average",52
"Domino's Pizza","New Delhi",700,0,0,0,83,2.8,"Average",56
"Sultanat","New Delhi",1000,1,1,0,288,3.7,"Good",52
"Bella Italia","New Delhi",550,0,0,0,33,3.2,"Average",22
"Clever Fox Cafe","New Delhi",900,1,0,0,26,3.2,"Average",52
"4 on 44 Restaurant & Bar","New Delhi",1000,1,1,0,49,2.6,"Average",52
"Rambhog","New Delhi",200,0,0,0,13,3.3,"Average",66
"Selfie Lounge Restro & Bar","New Delhi",1500,1,1,0,64,3.2,"Average",52
"BTW","New Delhi",400,0,0,0,167,3.4,"Average",66
"Chilli Pepper","New Delhi",900,1,1,0,99,3.3,"Average",52
"Pizza Hut","New Delhi",1000,0,1,0,125,2.6,"Average",32
"Puri Bakers","New Delhi",300,0,0,0,124,3.7,"Good",7
"Jaiveer Naan & Chaap","New Delhi",500,0,1,0,79,2.2,"Poor",52
"Aggarwal's Sweets Paradise","New Delhi",400,0,0,0,8,2.9,"Average",46
"Bikaner Sweets","New Delhi",200,0,0,0,20,3.3,"Average",46
"Cafe Coffee Day","New Delhi",450,0,0,0,23,3.2,"Average",15
"Cakeophony By Sonali","New Delhi",400,0,0,0,19,3.4,"Average",7
"Chandra Sweets","New Delhi",400,0,0,0,7,3,"Average",46
"Chhotu Mashhoor Kathi Roll","New Delhi",150,0,0,0,11,2.7,"Average",22
"Green Chick Chop","New Delhi",350,0,0,0,35,3.2,"Average",59
"Lazeez Restaurant","New Delhi",600,0,1,0,11,3,"Average",17
"Madhuvan Chinese Fast Food","New Delhi",300,0,1,0,32,2.5,"Average",17
"Mr Wong","New Delhi",800,0,1,0,10,3.2,"Average",17
"Mughlai Shahi Rasoi","New Delhi",600,0,0,0,23,3.2,"Average",52
"Mumbai Central Street Food","New Delhi",400,0,0,0,7,3.1,"Average",66
"Neha's Treat","New Delhi",450,0,0,0,42,2.9,"Average",17
"New Bakers Shoppee","New Delhi",200,0,0,0,21,3.2,"Average",7
"Pant  Ice Cream Parlour","New Delhi",150,0,0,0,16,3.3,"Average",19
"PM 2 AM Food Bank","New Delhi",500,0,1,1,37,2.5,"Average",52
"Punjabi Chaap Corner","New Delhi",250,0,0,0,4,2.9,"Average",52
"Sartaj Food Corner","New Delhi",500,0,1,0,7,2.8,"Average",52
"The Sugar Therapy","New Delhi",450,0,0,0,22,3.4,"Average",7
"Biryani Binge","New Delhi",600,0,1,0,97,3.9,"Good",52
"City of Joy","New Delhi",800,0,0,0,452,3.9,"Good",8
"Letz Roll","New Delhi",250,0,0,0,14,3.6,"Good",30
"Nukkad","New Delhi",650,0,1,0,82,3.6,"Good",17
"Shree Rathnam","New Delhi",800,0,1,0,31,2.4,"Poor",63
"Alaturka","New Delhi",600,0,1,0,100,2.5,"Average",72
"Amici Gourmet Pizza","New Delhi",800,0,1,0,230,3.1,"Average",56
"Burger King","New Delhi",500,0,1,0,458,3.2,"Average",13
"Kylin Express","New Delhi",700,0,0,0,176,2.6,"Average",4
"Big Fat Sandwich","New Delhi",800,1,1,0,232,3.5,"Good",1
"Fashion Tv Cafe","New Delhi",2200,1,0,0,27,3.6,"Good",18
"Kylin Skybar","New Delhi",2200,1,0,0,210,3.6,"Good",17
"Lemon Drops","New Delhi",500,0,0,0,44,3.9,"Good",52
"Punjabi By Nature Express","New Delhi",600,0,0,0,206,3.5,"Good",52
"Red Mango","New Delhi",700,0,1,0,185,3.7,"Good",15
"Starbucks","New Delhi",700,0,0,0,256,3.7,"Good",15
"Peninsular Kitchen","New Delhi",1500,1,1,0,336,4.2,"Very Good",61
"Mithapur","New Delhi",450,0,0,0,280,3.4,"Average",17
"Diggin","New Delhi",1400,1,1,0,2131,4.2,"Very Good",32
"Aggarwal Sweet India","New Delhi",200,0,0,0,13,2.8,"Average",22
"Banzara's","New Delhi",400,0,0,0,38,3.1,"Average",17
"Bobby Tikki Wala","New Delhi",150,0,0,0,69,2.8,"Average",66
"Chennai Junction","New Delhi",500,0,0,0,11,3.3,"Average",63
"Chicken Bite","New Delhi",200,0,0,0,6,3.1,"Average",22
"Chocolate Dreams","New Delhi",400,0,0,0,4,3,"Average",7
"Dial n Dine","New Delhi",650,0,0,0,80,3.4,"Average",52
"Fresh n Refresh","New Delhi",500,0,0,0,24,3.4,"Average",22
"Garden Hut","New Delhi",250,0,0,0,13,3.1,"Average",17
"Giani","New Delhi",400,0,1,0,12,3.3,"Average",30
"Jugnu Gaming Zone and Cafe","New Delhi",600,0,0,0,4,2.9,"Average",15
"Keventer's South Indian & Chinese Food","New Delhi",200,0,0,0,9,2.8,"Average",17
"KTS","New Delhi",250,0,0,0,18,3.3,"Average",22
"Mandarin","New Delhi",600,0,0,0,14,2.8,"Average",17
"Penguin Bakers & Shakers","New Delhi",400,0,0,0,9,2.8,"Average",22
"Rollmates","New Delhi",200,0,0,0,16,3.2,"Average",22
"Tandoori Nights","New Delhi",650,0,0,0,5,3,"Average",48
"Burger Dominion","New Delhi",500,0,1,0,251,3.6,"Good",22
"Cafe Gainz","New Delhi",350,0,1,0,42,3.5,"Good",28
"Chaskaa","New Delhi",650,0,1,0,220,3.5,"Good",17
"Fabulous Cake Bites","New Delhi",400,0,1,0,34,3.6,"Good",7
"Hangout - A House Of Kathis","New Delhi",250,0,0,0,103,3.7,"Good",66
"Malais By Anands","New Delhi",300,0,0,0,46,3.7,"Good",52
"Panchwati Rasoi","New Delhi",250,0,0,0,62,3.8,"Good",52
"Sprinkles Cup & Cake","New Delhi",300,0,0,0,42,3.6,"Good",7
"Target Ice Cream & Bakers","New Delhi",350,0,1,0,58,3.6,"Good",19
"The Sweeet Jar","New Delhi",1000,0,1,0,106,3.9,"Good",15
"Juniper Bar - Andaz Delhi","New Delhi",1500,1,0,0,4,3,"Average",52
"McDonald's","New Delhi",500,0,1,0,48,3.4,"Average",22
"Pizza Hut Delivery","New Delhi",800,0,1,0,51,3.2,"Average",32
"The Arena","New Delhi",1600,1,0,0,19,3.4,"Average",18
"Restaurant De Seoul","New Delhi",2500,1,0,0,59,3.6,"Good",33
"Taksim","New Delhi",1500,1,0,0,188,3.9,"Good",18
"Jom Jom Malay","New Delhi",1800,0,0,0,77,4.4,"Very Good",41
"Kofuku","New Delhi",1500,0,1,0,46,4,"Very Good",33
"The Sky High","New Delhi",1400,0,0,0,387,4.1,"Very Good",18
"Haldiram's","New Delhi",500,0,0,0,117,3.1,"Average",52
"Jux Pux - The Dreamer's Cafe","New Delhi",350,0,0,0,7,3.1,"Average",9
"Pizzaon","New Delhi",500,0,0,0,10,3,"Average",56
"34, Chowringhee Lane","New Delhi",350,0,1,0,7,2.8,"Average",22
"Aapni Dhani","New Delhi",200,0,0,0,23,2.8,"Average",52
"Bengal Sweet Corner","New Delhi",500,0,0,0,102,2.8,"Average",52
"Chicken Vicken","New Delhi",600,0,0,0,19,3.4,"Average",52
"Cup-a-licious","New Delhi",200,0,0,0,15,3.2,"Average",7
"Frontier","New Delhi",200,0,0,0,10,3,"Average",7
"Metro Fast Food","New Delhi",400,0,0,0,17,2.7,"Average",17
"Nagpal's","New Delhi",200,0,1,0,135,3.4,"Average",66
"Nile Restro & Bar","New Delhi",1000,1,0,0,35,2.7,"Average",52
"Popular Chicken","New Delhi",450,0,0,0,5,3,"Average",52
"Sardar A Pure Meat Shop","New Delhi",150,0,0,0,22,3.4,"Average",59
"Shankar Fast Food","New Delhi",300,0,0,0,74,3.2,"Average",17
"Singh's Zaika ","New Delhi",500,0,0,0,4,3,"Average",52
"The Mirch Masala","New Delhi",700,0,0,0,7,3,"Average",52
"The Mirch Masala","New Delhi",650,0,0,0,22,3.2,"Average",52
"Uncle Cake Shop","New Delhi",300,0,0,0,9,3.1,"Average",7
"Kays Bar-Be-Que","New Delhi",700,0,1,0,191,3.5,"Good",52
"Master Bakers","New Delhi",350,0,1,0,199,3.7,"Good",7
"The Master's Fast Food Centre","New Delhi",400,0,0,0,60,3.5,"Good",22
"Chhabra Sweets","New Delhi",100,0,0,0,15,2.4,"Poor",46
"Kanwarji's","New Delhi",300,0,1,0,29,2.9,"Average",66
"Pizza Hut","New Delhi",1000,0,1,0,35,3.4,"Average",32
"Sagar Ratna","New Delhi",600,0,1,0,278,2.7,"Average",63
"Smelling Salts","New Delhi",1200,1,0,0,53,3.3,"Average",52
"Wah Ji Wah","New Delhi",350,0,1,0,142,2.6,"Average",52
"Wheelyz","New Delhi",550,0,1,0,41,2.5,"Average",52
"Bell Pepperz","New Delhi",1300,1,1,0,492,3.9,"Good",17
"Bharat Sweets","New Delhi",250,0,0,0,28,3.5,"Good",46
"Invitation","New Delhi",1300,1,0,0,457,3.6,"Good",52
"Mystique Melange","New Delhi",1800,1,0,0,173,3.9,"Good",52
"Pandit Ji Paranthe Wale","New Delhi",200,0,0,0,131,3.7,"Good",52
"Raju Chat Palace","New Delhi",200,0,0,0,123,3.9,"Good",66
"Seasonings - The Spice Mysteries","New Delhi",1200,1,1,0,274,3.9,"Good",52
"SGF - Spice Grill Flame","New Delhi",500,0,1,0,87,3.5,"Good",52
"Apni Rasoi","New Delhi",300,0,0,0,78,3,"Average",52
"Bablu Kabab Shop","New Delhi",500,0,0,0,10,3.1,"Average",52
"Cake o' Cuisine","New Delhi",300,0,0,0,26,3.3,"Average",7
"Domino's Pizza","New Delhi",700,0,0,0,101,3.2,"Average",56
"Hunger Flames","New Delhi",500,0,0,0,17,3.4,"Average",56
"Puran Chand Ambala Wale Di Hatti","New Delhi",600,0,0,0,34,3.3,"Average",52
"The Cake Gallery","New Delhi",500,0,0,0,12,3.3,"Average",7
"Bablu Chic Inn","New Delhi",750,0,0,0,34,3.6,"Good",48
"Masala Basket","New Delhi",400,0,1,0,46,3.6,"Good",52
"Udta Punjab","New Delhi",600,0,0,0,31,3.5,"Good",52
"Munch Nation","New Delhi",350,0,1,0,96,4,"Very Good",22
"Bengali Pastry Shop & Snack Bar","New Delhi",550,0,0,0,70,3.2,"Average",52
"Bhimsain's Bengali Sweet House","New Delhi",400,0,1,0,560,3.4,"Average",52
"Cafe Coffee Day","New Delhi",450,0,0,0,4,2.9,"Average",15
"Colonel's Kababz","New Delhi",600,0,1,0,38,3.4,"Average",52
"Faasos","New Delhi",600,0,1,0,11,2.8,"Average",52
"Karachi Bakery","New Delhi",200,0,0,0,4,3,"Average",7
"Nathu's Sweets","New Delhi",600,0,1,0,421,3.3,"Average",52
"Sachdeva Confectioners","New Delhi",550,0,1,0,68,3.1,"Average",52
"Bengali Sweet House","New Delhi",400,0,0,0,85,3.6,"Good",52
"Bijoli Grill","New Delhi",800,1,0,0,343,3.7,"Good",8
"Nathu's Pastry Shop","New Delhi",300,0,0,0,120,3.8,"Good",7
"Habibi Express","New Delhi",750,0,1,0,55,2.3,"Poor",38
"Cafe Coffee Day","New Delhi",450,0,0,0,49,3.2,"Average",15
"China Town","New Delhi",400,0,0,0,7,2.9,"Average",17
"Domino's Pizza","New Delhi",700,0,0,0,90,3.3,"Average",56
"High Street Kitchen & Bar","New Delhi",1200,1,0,0,11,2.9,"Average",52
"Pizza Hut","New Delhi",1000,0,1,0,161,3.1,"Average",32
"Sugar & Spice - Le Marche","New Delhi",800,0,0,0,67,3,"Average",7
"The Kathis","New Delhi",300,0,1,0,23,2.8,"Average",22
"The Kylin Experience","New Delhi",1700,0,1,0,60,3.3,"Average",33
"Arabian Nites","New Delhi",450,0,1,0,239,3.5,"Good",38
"Asia Kitchen","New Delhi",1300,1,1,0,137,3.7,"Good",17
"Dunkin' Donuts","New Delhi",600,0,1,0,212,3.7,"Good",13
"Krips Restaurant","New Delhi",1000,1,1,0,193,3.5,"Good",52
"McDonald's","New Delhi",500,0,1,0,202,3.5,"Good",22
"Yo! China","New Delhi",1300,1,1,0,332,3.5,"Good",17
"RPM","New Delhi",1800,1,0,0,92,2.4,"Poor",23
"By The Way - Bellagio","New Delhi",1000,1,1,0,120,2.9,"Average",32
"Red - Bellagio","New Delhi",1500,1,1,0,137,3.4,"Average",17
"Soul Curry - Bellagio","New Delhi",1100,1,1,0,158,3.6,"Good",52
"Alpha 63","New Delhi",1500,1,0,0,9,2.7,"Average",52
"Bite-N-Sip","New Delhi",300,0,1,0,38,2.6,"Average",52
"Lotus Garden","New Delhi",2000,1,0,0,59,3.2,"Average",17
"Meethas Sweets","New Delhi",200,0,0,0,4,2.8,"Average",46
"Nirula's","New Delhi",1100,0,1,0,98,2.5,"Average",22
"Punjabi Tadka","New Delhi",250,0,0,0,11,2.8,"Average",52
"Snack Bar","New Delhi",250,0,0,0,11,3,"Average",52
"South Indian Food","New Delhi",150,0,0,0,14,3.1,"Average",63
"Domino's Pizza","New Delhi",700,0,0,0,71,2.4,"Poor",56
"Southy","New Delhi",400,0,1,0,33,2.4,"Poor",63
"Al Kuresh","New Delhi",850,0,1,0,85,3.3,"Average",17
"Angan Bakery & Cafe","New Delhi",600,0,0,0,10,2.9,"Average",7
"Bamboo Chopstix","New Delhi",700,0,0,0,8,2.7,"Average",17
"Bawarchis","New Delhi",700,0,0,0,16,2.9,"Average",17
"Bikanervala","New Delhi",450,0,0,0,113,3.4,"Average",52
"Cafe Coffee Day","New Delhi",450,0,0,0,4,3,"Average",15
"Chanakya Bar-Be-Que","New Delhi",800,1,0,0,17,3.2,"Average",17
"Chattisgarh Bhawan","New Delhi",450,0,0,0,33,2.7,"Average",52
"Chimney","New Delhi",800,1,0,0,66,2.9,"Average",17
"China Town Sizzlers","New Delhi",800,0,0,0,34,3.4,"Average",17
"Chinese Bite","New Delhi",700,0,0,0,31,2.8,"Average",17
"Chinese Garden","New Delhi",900,1,0,0,17,3.2,"Average",17
"Costa Coffee","New Delhi",600,0,0,0,4,3,"Average",15
"Food Point","New Delhi",200,0,0,0,5,2.8,"Average",22
"Ikko","New Delhi",1650,1,0,0,10,2.9,"Average",52
"Jammu And Kashmir House","New Delhi",500,0,0,0,4,2.9,"Average",35
"Laguna","New Delhi",900,0,0,0,60,3.4,"Average",17
"Momo Point","New Delhi",700,0,0,0,14,3.2,"Average",17
"New Zaika","New Delhi",700,0,0,0,10,3.1,"Average",17
"Organic Express","New Delhi",700,0,0,0,7,3,"Average",15
"Tamil Nadu House Canteen","New Delhi",600,0,0,0,161,3.4,"Average",63
"The Chocolate Avenue","New Delhi",300,0,0,0,28,3.4,"Average",7
"Chimney Sizzlers","New Delhi",800,1,1,0,137,3.7,"Good",17
"Gujarat Bhawan Restaurant","New Delhi",400,0,0,0,203,3.7,"Good",27
"Itäó»s Sinful","New Delhi",450,0,0,0,20,3.5,"Good",7
"Jakoi","New Delhi",600,0,0,0,218,3.5,"Good",5
"Moti Mahal Delux","New Delhi",1600,1,0,0,164,2.4,"Poor",52
"The Treat","New Delhi",500,0,0,0,138,2.1,"Poor",52
"Break Fast Point","New Delhi",200,0,0,0,21,3.3,"Average",52
"Breakfast Corner","New Delhi",150,0,0,0,6,3.1,"Average",52
"Domino's Pizza","New Delhi",700,0,0,0,10,3,"Average",56
"Frontier","New Delhi",200,0,0,0,10,3.2,"Average",7
"Prince Cafe","New Delhi",300,0,0,0,6,2.9,"Average",63
"Spicy Eleven","New Delhi",500,0,0,0,15,3.1,"Average",52
"Vaishno Punjabi Dhaba","New Delhi",400,0,0,0,12,3,"Average",52
"Adarsh Bhojnalaya","New Delhi",300,0,0,0,29,3.4,"Average",52
"Al Haj Bakery","New Delhi",150,0,0,0,9,3,"Average",7
"Anmol Chicken","New Delhi",300,0,0,0,4,3.1,"Average",48
"Babu Ram Paranthe Wale","New Delhi",150,0,0,0,225,3.2,"Average",52
"Bhaijaan Kababs","New Delhi",100,0,0,0,8,3.2,"Average",48
"Bhikharam's","New Delhi",300,0,0,0,5,3,"Average",46
"Bikanervala","New Delhi",550,0,0,0,42,2.8,"Average",52
"Brijwasi Bhoj","New Delhi",200,0,0,0,16,3.1,"Average",52
"Brijwasi Restaurant","New Delhi",400,0,0,0,39,3.2,"Average",52
"Comesum","New Delhi",350,0,0,0,49,2.5,"Average",52
"Inderpuri Restaurant","New Delhi",250,0,0,0,20,3,"Average",52
"Kamdhenu Family Corner","New Delhi",300,0,0,0,4,2.8,"Average",52
"Khalsa Hindu Hotel","New Delhi",450,0,0,0,5,2.9,"Average",52
"Mahalaxmi Mishthan Bhandar","New Delhi",100,0,0,0,16,3.3,"Average",46
"McDonald's","New Delhi",500,0,0,0,57,3,"Average",22
"McDonald's","New Delhi",500,0,0,0,42,3,"Average",22
"Natraj Cafe","New Delhi",300,0,0,0,21,3.4,"Average",52
"Padam Chaat Corner","New Delhi",100,0,0,0,4,3,"Average",66
"Pandit Ved Prakash Lemon Wale","New Delhi",50,0,0,0,11,3.2,"Average",9
"Pt. Babu Ram Devi Dayal Paranthe Wale","New Delhi",150,0,0,0,53,3,"Average",52
"Rabri Bhandar","New Delhi",150,0,0,0,7,3.2,"Average",46
"Ram Parshad Makhan Lal","New Delhi",100,0,0,0,23,3.4,"Average",46
"Rambhoj","New Delhi",150,0,0,0,4,2.9,"Average",52
"Rehmatullah's Hotel","New Delhi",100,0,0,0,5,3,"Average",48
"Sharma Bhojnalay","New Delhi",100,0,0,0,9,3,"Average",52
"Shree Balaji Chaat Bhandar","New Delhi",100,0,0,0,16,3.2,"Average",66
"Shri Duli Chand Naresh Gupta","New Delhi",100,0,0,0,18,3.4,"Average",19
"Shri Hari Sharnam","New Delhi",400,0,0,0,14,3.1,"Average",52
"Sindhi Chicken","New Delhi",400,0,0,0,7,2.9,"Average",52
"Soni Bhojnalaya","New Delhi",300,0,0,0,4,3,"Average",52
"Super Restaurant","New Delhi",250,0,0,0,5,2.9,"Average",52
"Tiwari Ji Confectioner","New Delhi",100,0,0,0,5,3.1,"Average",66
"Wah Ji Wah","New Delhi",450,0,0,0,59,2.8,"Average",52
"Zaika Mughlai Foods","New Delhi",550,0,0,0,10,3.3,"Average",48
"Al Yousuf","New Delhi",200,0,0,0,30,3.7,"Good",48
"Amritsari Lassi Wala","New Delhi",100,0,0,0,112,3.8,"Good",9
"Annapurna Bhandar","New Delhi",100,0,0,0,59,3.8,"Good",46
"Bishan Swaroop Chaat Bhandar","New Delhi",150,0,0,0,40,3.7,"Good",66
"Gole Hatti","New Delhi",150,0,0,0,116,3.8,"Good",52
"Haldiram's","New Delhi",600,0,0,0,444,3.9,"Good",52
"Kanwarji's","New Delhi",300,0,0,0,163,3.9,"Good",66
"Kedarnath Prem Chand Halwai","New Delhi",100,0,0,0,19,3.7,"Good",46
"Keventers","New Delhi",400,0,0,0,63,3.7,"Good",9
"Khan Omelette Corner","New Delhi",150,0,0,0,43,3.6,"Good",22
"Natraj Dahi Bhalle Wala","New Delhi",100,0,0,0,1487,3.9,"Good",66
"Old Famous Jalebi Wala","New Delhi",100,0,0,0,752,3.9,"Good",46
"Pt. Gaya Prasad Shiv Charan Paranthe Wale","New Delhi",150,0,0,0,437,3.6,"Good",52
"Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale","New Delhi",150,0,0,0,297,3.6,"Good",52
"Shiv Misthan Bhandar","New Delhi",100,0,0,0,76,3.8,"Good",46
"Special Jalebi Wala","New Delhi",100,0,0,0,21,3.5,"Good",46
"Tewari Bros Confectioners","New Delhi",200,0,0,0,51,3.5,"Good",66
"Chaina Ram Sindhi Confectioners","New Delhi",200,0,0,0,382,4.2,"Very Good",46
"Giani's di Hatti","New Delhi",150,0,0,0,521,4.3,"Very Good",30
"Jung Bahadur Kachori Wala","New Delhi",50,0,1,0,405,4.1,"Very Good",66
"Lakhori - Haveli Dharampura","New Delhi",3000,0,0,0,305,4.4,"Very Good",48
"Milk n More","New Delhi",100,0,0,0,6,3.1,"Average",19
"Kuremal Mohan Lal Kulfi Wale","New Delhi",200,0,0,0,545,4.5,"Excellent",30
"Hira Chaat Corner","New Delhi",100,0,0,0,18,3.6,"Good",66
"Kuremal Mahavir Prasad Kulfi Wale","New Delhi",300,0,0,0,36,3.9,"Good",30
"Shakahari Restaurant","New Delhi",300,0,0,0,185,3.6,"Good",52
"Shri Gujrat Namkeen Bhandar","New Delhi",100,0,0,0,27,3.6,"Good",66
"Standard Sweets","New Delhi",200,0,0,0,31,3.6,"Good",46
"Sudarshan","New Delhi",150,0,0,0,54,3.7,"Good",66
"Ustad Moinuddin Kebab","New Delhi",100,0,0,0,21,3.7,"Good",22
"Ashok Chaat Corner","New Delhi",100,0,0,0,118,4.1,"Very Good",66
"Jain Coffee House","New Delhi",150,0,0,0,169,4.1,"Very Good",22
"Shyam Sweets","New Delhi",150,0,0,0,200,4.1,"Very Good",46
"Spicy Food Court","New Delhi",500,0,1,0,23,2.7,"Average",52
"Aristocrat Sweet Shop","New Delhi",300,0,0,0,7,3.1,"Average",46
"Balluchi's - The Royal Cuisine","New Delhi",800,1,0,0,4,3,"Average",52
"Bunty Dhaba","New Delhi",500,0,0,0,26,3.2,"Average",52
